League,GoalsNetIncome,GoalsWin,GoalsMax,BetAmountGoals,GOalsProfitPercent,GoalsBets,GoalsWinPercent,xGNetIncome,xGWin,xGMax,BetAmountxG,xGProfitPercent,xGBets,xGWinPercent,RegNetIncome,RegWin,RegMax,BetAmountReg,RegProfitPercent,RegBets,RegWinPercent,RFNetIncome,RFWin,RFMax,BetAmountRF,RFProfitPercent,RFBets,RFWinPercent,KCOFilter
SerieA2018,-302.93967890780004,8,120.60605109,1215.677772383,-0.24919405930567487,24,0.3333333333333333,126.47105671000001,4,204.97388899,372.364642902,0.3396430330343824,10,0.4,1256.27257151336,28,453.34987674,3941.9719202730003,0.31869140544926994,70,0.4,946.2613179311601,17,610.97392999,2770.403313229,0.3415608526789769,58,0.29310344827586204,Greater than 2.03
SerieA2019,-432.2446011064,4,63.219552964,790.171618433,-0.5470262295216197,16,0.25,-220.968934505,2,39.427816157500004,411.788294621,-0.5366081003064317,10,0.2,933.1850186503999,24,636.3888226099999,3256.705307262,0.2865426652419324,60,0.4,665.2082399611,17,346.61516267,2410.341599428,0.27598089835854017,51,0.3333333333333333,Greater than 2.03
Bunde2018,-175.05631030210003,7,154.54272848799997,1199.608242793,-0.14592789884014418,21,0.3333333333333333,-207.15625597125,0,-21.208189717249994,239.983098225,-0.8632118574326736,6,0,626.4357228106101,18,252.13153463999998,2824.471781437,0.2217886285597443,41,0.43902439024390244,944.4840452441,13,384.77170015999997,1534.948559189,0.6153196728254686,32,0.40625,Greater than 2.04
Bunde2019,7423.6407730149,45,954.7052364400001,4775.761654171,1.5544412201834499,74,0.6081081081081081,7263.951531056,39,836.9708263299999,3889.467997398,1.8675951404962021,64,0.609375,7622.9513652462,43,685.0139373100001,3936.346116466,1.936555155391159,61,0.7049180327868853,6982.8615779833,38,859.8844806000001,3280.191717566,2.128796783611414,56,0.6785714285714286,Greater than 2.04
LaLiga2018,51.555705495380025,3,70.7580911272,398.165703921,0.12948303931673932,8,0.375,-299.524119161,1,36.375888190000005,371.016120451,-0.8073075606442768,10,0.1,2149.6857392032002,34,316.25381169,3771.769896236,0.5699408496123949,57,0.5964912280701754,1183.49354034931,22,238.95054469299998,2472.263507483,0.47870849396398657,46,0.4782608695652174,Greater than 2.04
LaLiga2019,3520.0646431453,21,1304.09469679,2856.492124885,1.2323032899266315,48,0.4375,1130.3590923142,13,536.63998173,2131.807065182,0.5302351750193197,44,0.29545454545454547,3270.87016329995,32,772.97574027,3889.73029297,0.8408989613525313,57,0.5614035087719298,2581.63494556,24,640.33293301,2959.069756452,0.8724481536574,57,0.42105263157894735,Greater than 2.04
Ligue12018,-67.36112753350997,4,168.0798928217,593.848581924,-0.11343148671883294,10,0.4,64.79992124700001,2,87.19087705000001,182.383595328,0.355294680590452,4,0.5,2312.0851790183,26,740.8537797699998,2905.9281446,0.7956443050096677,43,0.6046511627906976,1427.1272295455,20,384.87735297,2334.719241012,0.6112628895485104,43,0.46511627906976744,Greater than 2.04
Ligue12019,-63.67348405059995,6,280.937063605,1540.310624807,-0.041338080141191134,26,0.23076923076923078,307.40908678060003,4,133.93363403,309.289721424,0.9939195048747779,7,0.5714285714285714,1935.064825974,25,301.356587405,3008.870845729,0.6431199360786009,44,0.5681818181818182,682.4461306365502,13,342.50477991,1735.168637585,0.39330248130024736,31,0.41935483870967744,Greater than 2.04
PL2018,-408.6899762098,3,80.41382906380001,880.977756952,-0.4639049885025275,15,0.2,-238.35638198750001,1,1.6917727024999962,294.2896079,-0.8099381547597624,7,0.14285714285714285,2309.2793786585703,36,453.54780455,3838.080392997,0.6016756144222785,65,0.5538461538461539,2600.72264786021,30,627.24484271,2797.200665581,0.9297590551373689,52,0.5769230769230769,Greater than 2.04
PL2019,-11.798928068999984,3,65.62376895000001,342.39431946,-0.03446005788766711,6,0.5,232.26924469200006,4,311.167713255,560.168807988,0.4146415176636821,14,0.2857142857142857,3117.2900015435,35,406.13738888499995,3644.673339506,0.8553002453619116,65,0.5384615384615384,1569.9653584425,27,399.86665619999997,3028.005927618,0.5184816000930101,64,0.421875,Greater than 2.04
