League,Home,Away,HomePredGoal,AwayPredGoal,Week,HomePredxG,AwayPredxG,HomePredReg,AwayPredReg,HomePredRF,AwayPredRF,HomeWinProbGoal,AwayWinProbGoal,DrawProbGoal,HomeWinProbxG,AwayWinProbxG,DrawProbxG,HomeWinProbReg,AwayWinProbReg,DrawProbReg,HomeWinProbRF,AwayWinProbRF,DrawProbRF,HomeOdds,DrawOdds,AwayOdds,HomeGoals,AwayGoals,HomeWin,AwayWin,Draw
Bunde2019,Freiburg,Bayern Munich,1.288413819,2.803209061,27,0.854189701,2.539698745,2.090197895,2.175289836,2.129066667,2.167366667,0.149141649,0.624381656,0.159091226,0.104138392,0.694033302,0.156853302,0.364530668,0.392667598,0.199482194,0.372022831,0.384606847,0.198803646,2.15,3.5,3.3,1,1,0,0,1
Bunde2019,Hannover 96,Schalke 04,0.869249857,1.427088249,27,1.002069183,1.749621546,1.042815068,1.153103194,0.962633333,1.346266667,0.228805208,0.497463067,0.269935476,0.214725059,0.540126311,0.235428983,0.325970927,0.381011099,0.291053373,0.267342337,0.453129649,0.276394252,4.75,3.75,1.75,0,1,0,1,0
Bunde2019,Hoffenheim,Leverkusen,1.515174652,1.54601227,27,2.536234402,1.662081625,2.089450203,1.540076736,2.242333333,1.878233333,0.368528633,0.381501856,0.240178189,0.52371104,0.238967075,0.185947544,0.484362334,0.279976402,0.210700902,0.441830548,0.318310461,0.200659691,2.8,3.4,2.5,4,1,1,0,0
Bunde2019,NÃ¼rnberg,Augsburg,0.982630273,0.883435583,27,1.038177223,1.028390374,1.00090675,0.87261012,0.738466667,0.87,0.365579133,0.312394614,0.321172083,0.350575245,0.345552145,0.302466337,0.373872539,0.305224533,0.320014115,0.28684759,0.361738861,0.351006008,1.75,3.8,4.75,3,0,1,0,0
Bunde2019,RB Leipzig,Hertha BSC,1.717885093,0.645587541,27,2.130978518,0.772469636,1.925536429,0.071020545,1.4616,0.1915,0.624708038,0.135638894,0.231202765,0.665271196,0.12302979,0.189781474,0.820271879,0.010686318,0.155017987,0.701009232,0.04614147,0.248911604,1.8,4,4,5,0,1,0,0
Bunde2019,Werder Bremen,Mainz 05,2.59057072,0.981123171,27,2.176646659,0.954610607,1.701961217,1.274940661,1.8258,1.387166667,0.671068856,0.120063171,0.160008798,0.628476833,0.153325269,0.193926973,0.466491863,0.28538235,0.238073464,0.467817677,0.290095596,0.227993871,1.53,4.33,5.75,3,1,1,0,0
Bunde2019,Augsburg,Hoffenheim,1.940482875,2.64040053,28,1.730840529,2.092845421,2.074766996,2.886890654,2.2446,2.6793,0.269435906,0.481708581,0.183037042,0.315933276,0.446427811,0.20897536,0.255798578,0.480341911,0.172913409,0.307434796,0.430730775,0.181151157,5.75,4.5,1.53,0,4,0,1,0
Bunde2019,Bayern Munich,Dortmund,1.41493543,1.09257953,28,1.393955478,0.762162133,2.34136981,0.493877016,2.578666667,0.429333333,0.440352248,0.290032849,0.2653135,0.516468721,0.204687494,0.275567055,0.75739415,0.06141613,0.148922277,0.78856486,0.042744346,0.121201306,2.37,3.75,2.8,5,0,1,0,0
Bunde2019,Hertha BSC,DÃ¼sseldorf,2.051656373,1.318032448,28,1.92751723,1.284450194,1.600341256,1.858216951,2.099833333,2.047066667,0.525301829,0.241109191,0.212745628,0.510184495,0.252072442,0.221582702,0.329719254,0.429897339,0.222436355,0.388398706,0.370505568,0.202705351,1.85,3.6,4.33,1,2,0,1,0
Bunde2019,Leverkusen,RB Leipzig,0.848961258,1.565163533,28,1.312104888,1.283583893,1.916372396,1.494957105,2.221766667,1.3269,0.203303333,0.536879257,0.254118027,0.372287398,0.359153287,0.264134378,0.462647526,0.298203741,0.22109251,0.55108695,0.21980989,0.200740976,1.44,4.5,7.5,2,4,0,1,0
