Wk,Home,Away,HomeGoals,AwayGoals,HomexG,AwayxG
32,Watford,Bournemouth,2,2,1.1,2.1
32,Everton,Manchester City,1,3,0.4,1.5
32,Arsenal,Stoke City,3,0,3.6,0.4
32,Chelsea,Tottenham,1,3,1,0.9
33,Everton,Liverpool,0,0,0.5,1
33,Leicester City,Newcastle Utd,1,2,1.2,0.6
33,Watford,Burnley,1,2,1.4,1.5
33,Brighton,Huddersfield,1,1,1.4,1.9
33,Bournemouth,Crystal Palace,2,2,1.8,1.2
33,Stoke City,Tottenham,1,2,1.3,1.5
33,West Brom,Swansea City,1,1,1.1,0.7
33,Manchester City,Manchester Utd,2,3,2.6,0.9
33,Arsenal,Southampton,3,2,1.7,2.2
33,Chelsea,West Ham,1,1,2.2,0.2
34,Southampton,Chelsea,2,3,1,1.1
34,Swansea City,Everton,1,1,1.2,1.2
34,Burnley,Leicester City,2,1,0.8,1.2
34,Huddersfield,Watford,1,0,0.8,0.3
34,Crystal Palace,Brighton,3,2,1.7,2
34,Liverpool,Bournemouth,3,0,2.3,0.6
34,Tottenham,Manchester City,1,3,0.8,2.6
34,Newcastle Utd,Arsenal,2,1,0.6,1.2
34,Manchester Utd,West Brom,0,1,0.9,0.6
34,West Ham,Stoke City,1,1,0.9,1.2
35,Brighton,Tottenham,1,1,1,1.3
35,Bournemouth,Manchester Utd,0,2,1.1,2
31,Burnley,Chelsea,1,2,0.6,1.3
35,Leicester City,Southampton,0,0,0.7,0.7
35,West Brom,Liverpool,2,2,1.5,1.3
35,Watford,Crystal Palace,0,0,0.7,0.2
35,Arsenal,West Ham,4,1,1.4,1.1
35,Stoke City,Burnley,1,1,0.4,1.3
35,Manchester City,Swansea City,5,0,3,0.6
35,Everton,Newcastle Utd,1,0,0.8,1.1
36,Liverpool,Stoke City,0,0,1.9,0.7
36,Newcastle Utd,West Brom,0,1,1.9,0.9
36,Southampton,Bournemouth,2,1,1,1.1
36,Huddersfield,Everton,0,2,0.7,0.4
36,Burnley,Brighton,0,0,1.4,0.5
36,Crystal Palace,Leicester City,5,0,2.8,0.6
36,Swansea City,Chelsea,0,1,0.6,1.7
36,West Ham,Manchester City,1,4,0.4,3
36,Manchester Utd,Arsenal,2,1,1.7,0.6
36,Tottenham,Watford,2,0,1.5,1.3
37,Brighton,Manchester Utd,1,0,0.5,0.8
