Wk,Home,Away,HomeGoals,AwayGoals,HomexG,AwayxG
17,Lazio,Cagliari,3,1,2.4,2
17,Sassuolo,Torino,1,1,1.5,0.4
17,Napoli,SPAL,1,0,2.3,0.6
17,Udinese,Frosinone,1,1,0.4,1.3
17,Milan,Fiorentina,0,1,0.8,0.4
17,Empoli,Sampdoria,2,4,1.5,1.1
17,Genoa,Atalanta,3,1,1.6,2
17,Parma,Bologna,0,0,0.9,0.3
17,Chievo,Inter,1,1,0.7,1.8
17,Juventus,Roma,1,0,2.2,0.4
18,Frosinone,Milan,0,0,0.6,2
18,Cagliari,Genoa,1,0,0.9,0.9
18,Fiorentina,Parma,0,1,2.3,0.6
18,Bologna,Lazio,0,2,0.2,1.4
18,Sampdoria,Chievo,2,0,1,0.6
18,Atalanta,Juventus,2,2,1.4,1.3
18,Roma,Sassuolo,3,1,2.8,0.9
18,SPAL,Udinese,0,0,0.7,0.2
18,Torino,Empoli,3,0,1.3,0.3
18,Inter,Napoli,1,0,0.9,0.7
19,Juventus,Sampdoria,2,1,1.6,1.4
19,Empoli,Inter,0,1,0.5,1.1
19,Sassuolo,Atalanta,2,6,1.1,3
19,Chievo,Frosinone,1,0,1.1,0.5
19,Lazio,Torino,1,1,1.2,1.7
19,Udinese,Cagliari,2,0,2.6,0.3
19,Parma,Roma,0,2,0.7,2.1
19,Genoa,Fiorentina,0,0,0.5,1.5
19,Napoli,Bologna,3,2,1.5,0.7
19,Milan,SPAL,2,1,1.5,0.4
20,Roma,Torino,3,2,3.2,1.1
20,Udinese,Parma,1,2,1.6,1.9
20,Inter,Sassuolo,0,0,1,1.4
20,Frosinone,Atalanta,0,5,0.8,2.1
20,Fiorentina,Sampdoria,3,3,2.5,2
20,SPAL,Bologna,1,1,1,1.1
20,Cagliari,Empoli,2,2,0.9,1.6
20,Napoli,Lazio,2,1,1.7,1.1
20,Genoa,Milan,0,2,1.7,1.6
20,Juventus,Chievo,3,0,2.7,0.6
21,Sassuolo,Cagliari,3,0,3.1,1
21,Sampdoria,Udinese,4,0,3,0.5
21,Milan,Napoli,0,0,0.9,0.7
21,Chievo,Fiorentina,3,4,2.8,2.1
21,Bologna,Frosinone,0,4,1.2,1.2
21,Atalanta,Roma,3,3,2.6,1.1
21,Parma,SPAL,2,3,1.9,2.2
21,Torino,Inter,1,0,0.7,0.9
21,Lazio,Juventus,1,2,1.4,1.3
21,Empoli,Genoa,1,3,1.4,1.8
22,Empoli,Chievo,2,2,2.2,1.5
22,Napoli,Sampdoria,3,0,1.7,0.7
22,Juventus,Parma,3,3,2.1,1.2
22,SPAL,Torino,0,0,0.6,0.5
22,Udinese,Fiorentina,1,1,1.2,0.8
22,Genoa,Sassuolo,1,1,1.4,0.9
22,Inter,Bologna,0,1,1.6,0.6
22,Roma,Milan,1,1,1.5,0.6
22,Frosinone,Lazio,0,1,0.8,1.2
22,Cagliari,Atalanta,0,1,0.8,0.6
23,Lazio,Empoli,1,0,1.6,0.5
23,Chievo,Roma,0,3,1.4,1.4
23,Fiorentina,Napoli,0,0,0.7,2.5
23,Parma,Inter,0,1,0.5,2.2
23,Bologna,Genoa,1,1,1.1,0.8
23,Sampdoria,Frosinone,0,1,0.6,0.5
23,Atalanta,SPAL,2,1,2,0.9
23,Torino,Udinese,1,0,1.7,2.2
23,Sassuolo,Juventus,0,3,0.8,1.7
23,Milan,Cagliari,3,0,1.8,1.1
24,Juventus,Frosinone,3,0,1.3,0.6
24,Cagliari,Parma,2,1,1.3,0.4
24,Atalanta,Milan,1,3,0.8,0.7
24,SPAL,Fiorentina,1,4,1,2.9
24,Empoli,Sassuolo,3,0,1.4,0.7
24,Genoa,Lazio,2,1,1.2,0.6
24,Udinese,Chievo,1,0,1.3,1.4
24,Inter,Sampdoria,2,1,2.1,1.4
24,Napoli,Torino,0,0,2.6,0.4
24,Roma,Bologna,2,1,1.6,2
25,Milan,Empoli,3,0,1.4,0.7
