HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Leganés,Rayo Vallecano,1,1,D,5,13,2,6,11,12,1,5,0,3,0,0,5.25,4.2,1.6
Alavés,Valencia,2,2,D,10,12,4,7,17,16,5,7,3,5,0,0,2.1,3.2,3.75
Barcelona,Real Sociedad,2,1,H,11,9,4,2,10,12,4,2,0,1,0,0,1.22,6.5,13
Celta Vigo,Girona,2,1,H,13,9,8,1,7,10,5,1,2,1,0,0,2,3.75,3.5
Eibar,Atlético Madrid,0,1,A,10,8,2,4,11,12,5,8,3,1,0,0,3.2,3.1,2.4
Valladolid,Huesca,0,0,D,16,10,3,3,12,10,8,3,4,2,0,0,2.05,3.75,3.4
Betis,Sevilla,1,2,A,23,4,7,3,19,13,8,2,4,2,0,1,3,3.3,2.4
Getafe,Real Madrid,3,0,H,10,12,3,2,19,15,2,7,3,6,1,1,3.1,3.4,2.3
Levante,Espanyol,2,2,D,19,14,5,7,13,15,12,7,4,1,1,0,2.3,3.5,3
Rayo Vallecano,Athletic Club,3,0,H,11,5,4,3,12,16,8,2,2,4,0,0,1.45,4.33,7
Villarreal,Leganés,2,1,H,11,6,5,2,12,15,7,4,2,1,0,0,1.72,3.5,5
Alavés,Barcelona,0,2,A,6,17,1,6,19,9,1,4,3,1,0,0,7,5.25,1.4
Huesca,Eibar,2,0,H,12,7,3,4,16,16,5,3,4,1,0,0,2.25,3.5,3
Valencia,Girona,1,0,H,13,6,4,0,17,17,4,5,4,3,0,0,2.3,3.3,3.25
Atlético Madrid,Sevilla,3,2,H,14,12,6,4,17,13,4,3,3,3,0,0,1.8,3.4,5
Espanyol,Celta Vigo,1,1,D,9,18,2,6,15,8,2,4,2,1,0,0,2.3,3.2,3.3
Leganés,Athletic Club,0,1,A,14,3,1,2,11,14,2,2,1,2,0,0,2.6,3,3
Levante,Betis,4,0,H,6,7,4,2,9,15,3,4,2,3,0,0,2.5,3.3,2.9
Getafe,Rayo Vallecano,0,0,D,9,12,5,4,17,15,9,4,1,3,0,0,4,3.6,1.9
Real Madrid,Valladolid,5,0,H,20,12,11,3,10,12,5,4,1,2,0,0,1.33,5.25,9
Real Sociedad,Villarreal,0,1,A,13,8,2,3,11,14,6,3,2,3,0,0,2.5,3.3,2.9
Athletic Club,Alavés,1,1,D,14,14,1,3,14,17,8,6,2,2,0,0,1.45,4.2,7.5
Atlético Madrid,Valencia,1,0,H,13,13,1,4,19,12,7,3,4,2,0,0,1.33,4.5,11
Barcelona,Levante,1,0,H,23,7,12,2,17,12,6,3,4,3,0,0,1.2,6.5,11
Leganés,Celta Vigo,0,0,D,10,8,1,2,16,5,4,6,1,0,0,0,2.37,3.25,3
Girona,Real Madrid,1,0,H,15,7,4,3,12,18,3,6,1,2,0,1,4.75,3.4,1.75
Real Sociedad,Getafe,2,1,H,11,12,7,3,17,14,5,7,2,3,0,0,2.6,3.2,2.75
Sevilla,Eibar,0,1,A,7,13,2,3,10,15,7,6,2,3,0,0,1.45,4.5,6.5
Valladolid,Rayo Vallecano,1,0,H,11,9,5,3,21,6,6,6,2,5,0,0,7.5,4.5,1.4
Villarreal,Huesca,1,1,D,18,13,5,3,15,22,0,1,5,2,0,1,1.55,4,6.5
Betis,Espanyol,1,1,D,18,10,5,4,16,14,6,5,4,1,0,0,2.3,3.3,3.1
Real Madrid,Leganés,0,3,A,7,9,3,5,11,23,3,4,1,1,0,0,1.36,5,8.5
Alavés,Real Sociedad,0,1,A,17,9,6,2,7,22,13,6,1,3,0,0,2.5,3.25,2.9
Celta Vigo,Barcelona,2,0,H,14,8,6,1,11,13,11,1,1,5,0,0,2.15,3.6,3.25
Espanyol,Atlético Madrid,3,0,H,11,11,5,3,11,14,5,6,1,2,0,0,3.8,3.3,2.05
Levante,Valladolid,4,1,H,12,20,7,3,17,12,6,7,1,4,0,1,1.95,3.8,3.6
Eibar,Betis,1,0,H,14,12,6,6,15,7,11,8,3,2,0,0,2.05,3.6,3.5
Getafe,Girona,2,0,H,13,4,8,2,15,13,1,3,3,3,0,1,1.8,3.6,4.75
