HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Werder Bremen,Hannover 96,1,0,H,14,6,3,1,16,15,11,2,1,1,0,0,1.83,3.6,4.5
Leverkusen,Schalke 04,0,2,A,9,10,5,6,15,18,7,3,4,4,1,0,1.9,3.6,4
RB Leipzig,Freiburg,1,2,A,15,14,3,5,12,10,3,7,1,1,0,0,1.55,4,6.5
Dortmund,Augsburg,1,1,D,9,13,2,6,8,15,3,3,0,3,0,0,1.44,4.5,7
M'Gladbach,Werder Bremen,2,2,D,10,17,5,6,13,20,5,6,2,3,0,0,1.95,3.5,4
Augsburg,Köln,0,2,A,8,17,2,6,11,18,8,5,0,2,0,0,2.89,3.39,2.45
Eint Frankfurt,Hertha BSC,1,0,H,13,7,7,2,21,16,5,1,3,2,0,0,1.75,3.6,5
Hannover 96,Mainz 05,0,0,D,18,5,6,2,15,14,11,1,4,5,0,1,2.25,3.29,3.39
RB Leipzig,Dortmund,1,1,D,11,4,3,2,15,12,2,3,0,4,0,0,2.39,3.5,2.87
Schalke 04,Hoffenheim,1,0,H,7,11,4,3,16,16,2,6,0,1,0,0,1.66,3.6,6
Wolfsburg,Leverkusen,1,2,A,7,17,2,4,28,9,3,2,7,1,1,0,3.29,3.39,2.2
Freiburg,Stuttgart,2,3,A,12,9,4,4,13,13,3,3,1,3,0,0,2.45,3.25,3
Hamburger SV,Bayern Munich,0,4,A,5,17,1,4,8,8,4,5,1,0,0,0,10,5.5,1.3
Mainz 05,Schalke 04,0,1,A,16,6,4,2,12,17,5,6,2,2,0,0,3.6,3.29,2.1
Bayern Munich,Hannover 96,6,0,H,18,1,7,0,4,9,11,1,1,2,0,0,1.12,9,21
Hertha BSC,Augsburg,1,3,A,17,17,5,8,13,16,3,6,2,2,0,0,2.14,3.39,3.39
Hoffenheim,Hamburger SV,0,0,D,12,5,4,0,7,14,5,4,1,0,0,0,2.1,3.25,3.79
Köln,Wolfsburg,3,0,H,17,6,6,1,7,7,11,4,1,1,0,0,1.66,4,5
Leverkusen,M'Gladbach,2,0,H,17,9,7,2,12,15,3,5,0,3,0,0,1.7,3.89,5
