HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Paris S-G,Nîmes,3,0,H,21,8,7,3,15,10,9,7,3,0,0,0,1.25,6.5,11
Monaco,Lyon,2,0,H,11,9,5,3,20,18,3,6,3,1,0,0,3.4,3.5,2.1
Montpellier,Reims,2,4,A,19,15,4,8,13,12,5,2,0,1,0,0,2.2,3.2,3.5
Nantes,Bordeaux,1,0,H,19,7,8,2,12,14,11,1,2,2,0,0,1.95,3.4,4.2
Rennes,Marseille,1,1,D,16,9,3,2,14,15,7,2,4,3,0,1,2.9,3.3,2.45
Toulouse,Caen,1,1,D,12,13,8,4,14,15,6,2,2,3,0,1,1.85,3.5,4.5
Angers,Monaco,2,2,D,13,12,4,5,8,15,2,3,2,3,0,0,3.3,3.3,2.25
Caen,Paris S-G,1,2,A,7,25,2,7,13,13,2,8,2,1,0,0,12,6,1.22
Reims,Amiens,2,2,D,10,8,4,2,11,11,6,3,1,1,0,0,1.75,3.4,5.25
Guingamp,Nantes,0,0,D,7,9,1,3,19,13,3,1,1,2,0,0,2.8,3,2.8
Lille,Dijon,1,0,H,14,6,1,1,9,15,9,5,0,1,0,0,1.53,3.8,7.5
Lyon,Toulouse,5,1,H,21,5,10,2,12,14,8,1,0,2,0,1,1.28,5.5,10
Marseille,Saint-Étienne,2,0,H,12,7,7,2,8,22,3,5,2,2,0,0,1.75,3.75,4.5
Nice,Strasbourg,1,0,H,9,10,2,1,4,14,5,3,0,0,1,1,2.3,2.9,3.6
Bordeaux,Montpellier,1,2,A,15,8,4,5,14,15,12,2,1,1,0,0,2.5,2.9,3.3
Amiens,Nîmes,2,1,H,21,14,6,2,15,15,4,5,2,1,1,0,2.45,3.2,3.1
Dijon,Reims,1,1,D,5,26,1,5,18,14,4,6,1,1,1,0,3.1,3.1,2.45
Monaco,Bordeaux,1,1,D,16,9,9,3,12,12,4,3,5,2,0,0,1.61,4,5.25
Strasbourg,Lyon,2,2,D,17,21,7,8,17,12,5,6,1,2,0,0,4.75,3.8,1.75
Marseille,Nice,1,0,H,12,6,6,1,17,16,9,0,2,1,0,0,1.5,4.5,6
Montpellier,Angers,2,2,D,8,12,4,6,12,10,5,8,3,0,0,1,2.1,3.1,4
Rennes,Caen,3,1,H,11,6,6,1,11,16,5,4,2,4,0,1,1.61,3.6,6.5
Saint-Étienne,Lille,0,1,A,7,14,1,8,10,12,9,4,4,3,2,0,2.45,3.3,3
Toulouse,Guingamp,1,0,H,19,4,4,0,12,15,8,2,1,2,0,1,2.15,3.2,3.5
Dijon,Paris S-G,0,4,A,9,16,2,7,16,5,3,5,2,1,0,0,13,7,1.2
Lille,Monaco,0,1,A,12,12,3,8,14,18,5,3,3,2,0,0,2.1,3.2,3.8
Nice,Toulouse,1,1,D,10,18,2,3,8,20,2,6,0,2,0,0,2.05,3.1,4
Angers,Amiens,0,0,D,11,8,3,4,14,18,2,1,1,4,0,0,2.1,3.1,4
Caen,Saint-Étienne,0,5,A,2,13,1,7,18,12,0,8,0,0,0,0,3.7,3.1,2.2
Guingamp,Dijon,1,0,H,14,12,2,4,8,9,6,4,0,2,0,0,2.1,3.1,4
Nîmes,Strasbourg,2,2,D,15,6,4,2,11,17,7,1,4,5,0,0,2.37,3.2,3.2
Bordeaux,Rennes,1,1,D,14,10,4,3,13,11,3,9,2,3,0,0,2.62,3,2.9
Lyon,Montpellier,3,2,H,23,10,13,4,7,11,8,6,1,2,0,0,1.4,4.33,8.5
Paris S-G,Marseille,3,1,H,8,3,6,2,11,19,7,3,4,3,0,1,1.28,6,9.5
Reims,Nantes,1,0,H,10,7,2,1,8,16,7,3,4,3,0,1,2.15,3,4
Rennes,Lyon,0,1,A,12,18,2,5,13,19,2,6,2,3,0,0,4,3.6,1.9
Marseille,Angers,2,2,D,11,14,5,4,18,10,3,7,4,1,1,0,1.53,3.75,7.5
Amiens,Bordeaux,0,0,D,12,5,3,0,8,21,7,1,1,3,0,0,2.5,3.1,3.1
Dijon,Nice,0,1,A,14,12,1,6,17,11,8,5,3,1,1,0,2.4,3.1,3.2
Monaco,Caen,0,1,A,24,7,6,2,12,14,13,0,1,2,0,0,1.36,4.75,9.5
Nantes,Lille,2,3,A,8,10,2,3,15,21,3,6,2,3,0,0,3,3.1,2.55
Toulouse,Paris S-G,0,1,A,9,10,3,4,13,14,6,6,2,1,0,0,10,6.5,1.25
Saint-Étienne,Nîmes,2,1,H,14,15,9,6,7,8,5,7,3,4,0,0,1.75,3.75,4.75
Montpellier,Guingamp,2,0,H,17,8,7,3,12,7,5,8,0,2,0,0,1.75,3.4,5.25
Strasbourg,Reims,4,0,H,13,10,9,3,15,13,4,9,2,3,1,0,2.62,3.1,2.9
Bordeaux,Marseille,2,0,H,7,20,7,5,16,13,1,11,2,3,1,0,3.6,3.4,2.1
Amiens,Saint-Étienne,2,2,D,5,26,4,6,10,13,1,7,2,2,1,0,3,3.1,2.55
Angers,Rennes,3,3,D,17,7,9,5,11,13,4,2,3,4,0,0,2.7,3.2,2.7
Guingamp,Monaco,1,1,D,11,18,2,5,17,14,3,9,4,5,0,0,3.75,3.4,2.05
Lyon,Dijon,1,3,A,27,8,6,4,14,17,8,3,1,2,0,0,1.22,7,11
Nîmes,Caen,2,0,H,12,5,7,1,19,16,4,2,1,4,0,0,1.65,3.8,5.5
Nice,Montpellier,1,0,H,15,16,5,4,11,14,6,3,1,1,0,0,2.62,3,3
Paris S-G,Strasbourg,2,2,D,21,9,6,4,7,10,10,5,0,2,0,0,1.1,11,21
Reims,Lille,1,1,D,10,11,3,4,15,12,6,4,2,2,0,0,2.9,3.1,2.62
Toulouse,Nantes,1,0,H,14,19,5,1,19,11,4,5,3,1,0,1,2.4,3.1,3.2
Nîmes,Rennes,3,1,H,19,8,8,3,10,12,5,3,2,2,1,1,2.7,3.25,2.7
Dijon,Amiens,0,0,D,18,4,5,1,13,11,8,1,3,3,0,1,2.3,3.1,3.4
Nantes,Lyon,2,1,H,14,11,5,4,9,11,6,7,2,1,0,0,3.75,4,1.83
