Wk,Home,Away,HomeGoals,AwayGoals,HomexG,AwayxG
24,Liverpool,Leicester City,1,1,0.5,0.8
25,Tottenham,Newcastle Utd,1,0,2.4,0.5
25,Burnley,Southampton,1,1,2.3,1.1
25,Brighton,Watford,0,0,1.7,0.3
25,Crystal Palace,Fulham,2,0,2.1,0.6
25,Everton,Wolves,1,3,0.8,1.5
25,Chelsea,Huddersfield,5,0,2.9,0.3
25,Cardiff City,Bournemouth,2,0,2.3,0.5
25,Leicester City,Manchester Utd,0,1,1.5,1.3
25,Manchester City,Arsenal,3,1,3.2,0.8
25,West Ham,Liverpool,1,1,0.8,1.3
27,Everton,Manchester City,0,2,0.1,2.4
26,Fulham,Manchester Utd,0,3,1.4,1.7
26,Huddersfield,Arsenal,1,2,1.2,2
26,Southampton,Cardiff City,1,2,1.5,0.6
26,Watford,Everton,1,0,1.6,0.7
26,Liverpool,Bournemouth,3,0,2,0.4
26,Crystal Palace,West Ham,1,1,2.5,1.5
26,Brighton,Burnley,1,3,1.1,2.2
26,Tottenham,Leicester City,3,1,1.1,2.5
26,Manchester City,Chelsea,6,0,3.1,0.9
26,Wolves,Newcastle Utd,1,1,1.9,0.7
27,Cardiff City,Watford,1,5,1.2,2.8
27,West Ham,Fulham,3,1,1.4,1.3
27,Burnley,Tottenham,2,1,1.3,0.9
27,Newcastle Utd,Huddersfield,2,0,3.3,0.2
27,Bournemouth,Wolves,1,1,2,1.6
27,Leicester City,Crystal Palace,1,4,1.1,1.4
27,Manchester Utd,Liverpool,0,0,0.2,0.4
27,Arsenal,Southampton,2,0,2.1,0.9
28,Leicester City,Brighton,2,1,1.9,1.3
28,Huddersfield,Wolves,1,0,1.6,0.6
28,Cardiff City,Everton,0,3,0.3,0.8
28,Newcastle Utd,Burnley,2,0,0.8,1.1
28,Southampton,Fulham,2,0,1.4,0.7
28,Arsenal,Bournemouth,5,1,3.2,1.3
28,Crystal Palace,Manchester Utd,1,3,1.5,1.3
28,Manchester City,West Ham,1,0,3,0.5
28,Chelsea,Tottenham,2,0,0.6,0.5
28,Liverpool,Watford,5,0,1.9,1
29,Tottenham,Arsenal,1,1,1.3,2.4
29,Manchester Utd,Southampton,3,2,2.2,0.5
29,Bournemouth,Manchester City,0,1,0,1.6
29,Wolves,Cardiff City,2,0,2.6,0.6
29,Burnley,Crystal Palace,1,3,1.7,0.8
29,Brighton,Huddersfield,1,0,1.1,0.3
29,West Ham,Newcastle Utd,2,0,1.9,1.1
29,Watford,Leicester City,2,1,0.9,1
29,Fulham,Chelsea,1,2,0.8,1.7
29,Everton,Liverpool,0,0,0.5,1.1
30,Crystal Palace,Brighton,1,2,1.8,0.1
30,Newcastle Utd,Everton,3,2,2.3,1
30,Leicester City,Fulham,3,1,2,0.2
30,Southampton,Tottenham,2,1,1.2,1
30,Cardiff City,West Ham,2,0,2.9,0.3
30,Huddersfield,Bournemouth,0,2,0.4,2.2
30,Manchester City,Watford,3,1,3.2,0.5
30,Liverpool,Burnley,4,2,4.5,0.3
30,Chelsea,Wolves,1,1,1.5,0.2
30,Arsenal,Manchester Utd,2,0,1.5,1.6
31,Burnley,Leicester City,1,2,1.6,0.7
31,West Ham,Huddersfield,4,3,2.3,1.4
31,Bournemouth,Newcastle Utd,2,2,1.5,1.2
31,Fulham,Liverpool,1,2,1.1,2.5
31,Everton,Chelsea,2,0,2.1,1.2
32,Fulham,Manchester City,0,2,0.3,2.7
32,Manchester Utd,Watford,2,1,1.3,1.3
32,Burnley,Wolves,2,0,0.2,0.5
32,Brighton,Southampton,0,1,0.9,0.7
32,Crystal Palace,Huddersfield,2,0,3.2,0.5
32,Leicester City,Bournemouth,2,0,1.6,0.5
32,West Ham,Everton,0,2,0.1,2
32,Cardiff City,Chelsea,1,2,0.4,1.5
32,Liverpool,Tottenham,2,1,0.9,1.4
32,Arsenal,Newcastle Utd,2,0,0.8,0.1
33,Wolves,Manchester Utd,2,1,1.5,1.6
33,Watford,Fulham,4,1,1.6,2
27,Chelsea,Brighton,3,0,1.9,0.6
31,Tottenham,Crystal Palace,2,0,2.5,0.5
33,Manchester City,Cardiff City,2,0,2.9,0.1
33,Southampton,Liverpool,1,3,0.8,1.7
33,Huddersfield,Leicester City,1,4,1.6,2.8
33,Newcastle Utd,Crystal Palace,0,1,1.4,1.4
33,Bournemouth,Burnley,1,3,1.2,1
33,Everton,Arsenal,1,0,2.2,0.4
33,Chelsea,West Ham,2,0,1.9,0.5
34,Leicester City,Newcastle Utd,0,1,1.2,0.7
34,Tottenham,Huddersfield,4,0,2.3,0.6
34,Burnley,Cardiff City,2,0,2.7,0.8
34,Fulham,Everton,2,0,1.2,0.8
34,Southampton,Wolves,3,1,2.5,0.8
34,Brighton,Bournemouth,0,5,0.4,2
34,Manchester Utd,West Ham,2,1,2.4,1.2
34,Crystal Palace,Manchester City,1,3,0.3,2
34,Liverpool,Chelsea,2,0,1.3,0.9
34,Watford,Arsenal,0,1,0.6,2
31,Brighton,Cardiff City,0,2,0.6,0.6
35,Manchester City,Tottenham,1,0,1.9,1.3
35,Huddersfield,Watford,1,2,0.8,1.4
35,Bournemouth,Fulham,0,1,1.9,1.9
35,Wolves,Brighton,0,0,1.7,0.1
35,West Ham,Leicester City,2,2,1.4,1
35,Newcastle Utd,Southampton,3,1,1.4,1
35,Everton,Manchester Utd,4,0,1.2,0.3
35,Arsenal,Crystal Palace,2,3,1.2,2.2
35,Cardiff City,Liverpool,0,2,1,3.3
35,Chelsea,Burnley,2,2,1.1,0.9
31,Watford,Southampton,1,1,1.5,1.4
33,Tottenham,Brighton,1,0,1.7,0.2
31,Wolves,Arsenal,3,1,0.9,0.7
31,Manchester Utd,Manchester City,0,2,0.7,0.5
36,Liverpool,Huddersfield,5,0,2.5,0.1
36,Tottenham,West Ham,0,1,1.3,1.2
36,Fulham,Cardiff City,1,0,0.8,1
36,Watford,Wolves,1,2,1.2,1.7
36,Southampton,Bournemouth,3,3,2.7,2
36,Crystal Palace,Everton,0,0,0.3,1.3
36,Brighton,Newcastle Utd,1,1,1.2,0.4
36,Leicester City,Arsenal,3,0,2.9,0.5
36,Burnley,Manchester City,0,1,0.1,2.4
36,Manchester Utd,Chelsea,1,1,0.7,1.1
37,Everton,Burnley,2,0,1.6,0.6
37,Bournemouth,Tottenham,1,0,1.6,0.7
37,Wolves,Fulham,1,0,2,0.4
37,West Ham,Southampton,3,0,1.8,0.4
37,Cardiff City,Crystal Palace,2,3,1.7,1.8
37,Newcastle Utd,Liverpool,2,3,1.4,1.2
37,Huddersfield,Manchester Utd,1,1,1.1,1.3
37,Chelsea,Watford,3,0,1.9,1.6
37,Arsenal,Brighton,1,1,2.2,1.7
37,Manchester City,Leicester City,1,0,1.3,0.6
38,Brighton,Manchester City,1,4,0.4,1.8
38,Manchester Utd,Cardiff City,0,2,1.8,1.9
38,Southampton,Huddersfield,1,1,0.5,1.1
38,Liverpool,Wolves,2,0,1.4,0.6
38,Fulham,Newcastle Utd,0,4,0.9,1.5
38,Crystal Palace,Bournemouth,5,3,2,1.8
38,Burnley,Arsenal,1,3,1.8,2.1
38,Leicester City,Chelsea,0,0,0.4,1.5
38,Tottenham,Everton,2,2,1.2,1.9
38,Watford,West Ham,1,4,2.2,3.6
