Wk,Home,Away,HomeGoals,AwayGoals,HomexG,AwayxG
31,Udinese,Lazio,1,2,0.8,1.3
31,Milan,Sassuolo,1,1,1.8,0.5
32,Cagliari,Udinese,2,1,2,0.7
32,Chievo,Torino,0,0,0.4,0.8
32,Genoa,Crotone,1,0,2,0.9
32,Atalanta,Inter,0,0,1.4,0.8
32,Fiorentina,SPAL,0,0,2.6,0.3
32,Bologna,Hellas Verona,2,0,1.1,0.3
32,Sassuolo,Benevento,2,2,1.6,0.9
32,Milan,Napoli,0,0,0.7,1.5
32,Juventus,Sampdoria,3,0,2,0.9
32,Lazio,Roma,0,0,0.7,0.7
33,Inter,Cagliari,4,0,2.8,0
33,Benevento,Atalanta,0,3,1.1,4
33,Roma,Genoa,2,1,1.4,0.7
33,Sampdoria,Bologna,1,0,1.1,0.4
33,SPAL,Chievo,0,0,0.6,0.5
33,Crotone,Juventus,1,1,0.8,1
33,Fiorentina,Lazio,3,4,1.6,1.7
33,Torino,Milan,1,1,1.9,0.7
33,Hellas Verona,Sassuolo,0,1,0.4,1.7
33,Napoli,Udinese,4,2,1.6,2.1
34,SPAL,Roma,0,3,0.3,1.8
34,Sassuolo,Fiorentina,1,0,0.8,0.3
34,Milan,Benevento,0,1,1.6,0.4
34,Cagliari,Bologna,0,0,1.2,0.4
34,Atalanta,Torino,2,1,2.1,0.6
34,Udinese,Crotone,1,2,1.1,0.6
34,Chievo,Inter,1,2,1.1,1.9
34,Lazio,Sampdoria,4,0,2.4,0.4
34,Juventus,Napoli,0,1,0.2,0.8
34,Genoa,Hellas Verona,3,1,2.3,1.7
35,Roma,Chievo,4,1,1.7,1.3
35,Inter,Juventus,2,3,0.3,1.4
35,Crotone,Sassuolo,4,1,1.9,1.5
35,Bologna,Milan,1,2,1,1.5
35,Atalanta,Genoa,3,1,1.6,0.7
35,Benevento,Udinese,3,3,1.9,2.3
35,Hellas Verona,SPAL,1,3,1,1.1
35,Sampdoria,Cagliari,4,1,3.5,1.2
35,Fiorentina,Napoli,3,0,2.8,0.2
35,Torino,Lazio,0,1,0.4,2.5
36,Milan,Hellas Verona,4,1,1.3,0.3
36,Juventus,Bologna,3,1,2.2,1.2
36,Udinese,Inter,0,4,0.9,1.9
36,Genoa,Fiorentina,2,3,2,1.9
36,Napoli,Torino,2,2,1.9,0.7
36,SPAL,Benevento,2,0,1.9,0.5
36,Lazio,Atalanta,1,1,1.7,2.7
36,Chievo,Crotone,2,1,0.6,0.9
36,Sassuolo,Sampdoria,1,0,1,0
36,Cagliari,Roma,0,1,1,0.6
37,Benevento,Genoa,1,0,1.4,1.5
37,Inter,Sassuolo,1,2,2.3,1
37,Crotone,Lazio,2,2,0.6,2.3
37,Bologna,Chievo,1,2,1.2,1.8
37,Hellas Verona,Udinese,0,1,0.7,1.4
37,Fiorentina,Cagliari,0,1,0.5,2.1
37,Torino,SPAL,2,1,1.4,0.5
37,Atalanta,Milan,1,1,2.1,0.3
37,Roma,Juventus,0,0,0.8,0.3
37,Sampdoria,Napoli,0,2,0.4,1.3
38,Juventus,Hellas Verona,2,1,2.8,0.6
38,Genoa,Torino,1,2,1.6,1.5
38,Chievo,Benevento,1,0,0.7,0.5
38,Napoli,Crotone,2,1,1.3,0.3
38,Udinese,Bologna,1,0,1.4,0.8
38,Milan,Fiorentina,5,1,2.4,1
38,SPAL,Sampdoria,3,1,2.1,0.6
38,Cagliari,Atalanta,1,0,0.4,1.3
38,Lazio,Inter,2,3,1.3,2.4
38,Sassuolo,Roma,0,1,0.8,1.3
