HomeTeam,AwayTeam,HomeGoals,AwayGoals,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A,B365A
Torino,Napoli,1,3,A,8,12,2,4,8,8,4,5,1,1,0,0,5.5,3.89,1.61
Atalanta,Lazio,3,3,D,13,13,6,4,5,12,5,7,2,2,0,0,2.37,3.39,3
Benevento,SPAL,1,2,A,16,14,4,5,14,11,6,3,2,3,0,0,2.87,3.1,2.62
Bologna,Juventus,0,3,A,3,11,1,6,9,9,3,7,3,1,0,0,7,4.75,1.44
Crotone,Chievo,1,0,H,15,15,6,4,17,13,6,4,4,4,0,0,3.2,3.2,2.37
Fiorentina,Genoa,0,0,D,22,5,4,3,13,9,3,4,2,2,0,0,1.57,4,6
Sampdoria,Sassuolo,0,1,A,13,15,2,7,15,16,7,5,1,6,0,0,1.8,4,4.2
Hellas Verona,Milan,3,0,H,6,30,4,8,12,13,4,13,3,2,0,1,5.5,4.33,1.57
Cagliari,Fiorentina,0,1,A,8,26,1,7,14,13,7,10,2,2,1,0,3.25,3.29,2.25
Chievo,Bologna,2,3,A,21,9,8,5,13,13,7,5,2,2,0,1,2.54,3,3
Genoa,Benevento,1,0,H,15,12,5,3,14,17,8,4,2,5,0,0,1.44,4.33,8
Juventus,Roma,1,0,H,22,13,7,3,9,13,3,5,2,3,0,0,1.8,3.6,4.75
Lazio,Crotone,4,0,H,19,8,6,2,12,7,10,3,1,2,0,0,1.22,6.5,13
Milan,Atalanta,0,2,A,23,11,5,7,17,11,7,4,2,0,0,0,2.39,3.25,3
Napoli,Sampdoria,3,2,H,14,6,9,2,17,15,2,2,4,5,1,0,1.25,6,12
Sassuolo,Inter,1,0,H,9,16,4,4,14,18,1,10,1,2,0,0,5,3.75,1.72
SPAL,Torino,2,2,D,15,15,4,5,12,21,9,3,4,2,0,0,3.6,3.39,2.1
Udinese,Hellas Verona,4,0,H,27,3,10,0,12,15,7,1,0,3,0,0,1.66,3.79,5.25
Crotone,Napoli,0,1,A,5,23,2,7,10,6,2,15,1,2,0,0,15,6.5,1.19
Atalanta,Cagliari,1,2,A,25,4,6,3,6,19,5,3,0,5,0,1,1.44,4.33,8
Benevento,Chievo,1,0,H,18,9,9,3,14,17,7,1,1,2,0,0,3.2,3.29,2.29
Bologna,Udinese,1,2,A,12,7,3,4,14,16,8,0,2,3,0,0,2.39,3.29,3
Fiorentina,Milan,1,1,D,18,8,6,4,11,12,2,5,1,1,0,0,2,3.5,3.79
Inter,Lazio,0,0,D,10,12,3,4,13,9,10,8,2,1,0,0,2.29,3.39,3.1
Roma,Sassuolo,1,1,D,21,15,4,5,13,12,7,4,1,2,0,0,1.3,5.5,10
Sampdoria,SPAL,2,0,H,20,9,8,2,16,15,11,3,3,4,0,0,1.72,4,4.5
Torino,Genoa,0,0,D,17,3,6,1,25,23,8,3,1,3,0,0,2.1,3.39,3.6
Hellas Verona,Juventus,1,3,A,3,18,1,8,22,4,6,6,2,0,0,0,15,6.5,1.19
Chievo,Udinese,1,1,D,11,9,6,1,6,20,5,5,0,1,0,0,3,3.2,2.5
Fiorentina,Inter,1,1,D,23,13,4,4,9,11,7,5,2,3,0,0,2.5,3.25,2.87
Benevento,Sampdoria,3,2,H,16,13,4,6,10,9,6,7,1,1,0,1,3.5,3.5,2.1
Cagliari,Juventus,0,1,A,9,16,2,2,17,13,5,3,1,2,0,0,10,5,1.33
Genoa,Sassuolo,1,0,H,7,10,3,1,17,16,5,5,3,1,0,0,2.2,3.2,3.5
Milan,Crotone,1,0,H,26,8,9,2,17,16,14,0,2,2,0,0,1.33,5.25,9.5
Napoli,Hellas Verona,2,0,H,24,3,9,1,9,8,5,1,0,4,0,0,1.11,10,21
Roma,Atalanta,1,2,A,18,11,5,4,12,6,12,7,1,3,0,1,1.72,3.79,4.75
SPAL,Lazio,2,5,A,13,15,4,7,8,14,9,4,2,3,0,0,6.5,4.2,1.53
Torino,Bologna,3,0,H,19,6,6,1,13,12,4,5,1,2,0,0,2.1,3.39,3.6
Atalanta,Napoli,0,1,A,9,12,3,3,10,13,8,7,0,2,0,0,3.6,3.5,2.04
Bologna,Benevento,3,0,H,8,4,6,1,11,15,5,3,4,2,0,0,1.7,3.6,5.5
Cagliari,Milan,1,2,A,12,16,3,6,23,17,5,8,5,4,1,1,3.75,3.39,2.04
Inter,Roma,1,1,D,17,7,7,1,13,13,6,5,2,0,0,0,2.39,3.5,2.89
Lazio,Chievo,5,1,H,18,9,11,3,5,3,2,2,1,0,0,0,1.25,6.25,12
Sampdoria,Fiorentina,3,1,H,14,12,10,5,5,16,7,4,1,2,0,0,3,3.39,2.37
Sassuolo,Torino,1,1,D,18,9,6,4,16,15,6,7,4,2,0,0,2.62,3.25,2.75
Udinese,SPAL,1,1,D,6,14,1,4,23,12,5,7,2,3,0,0,1.75,3.39,5.5
